date,volume,open,high,low,close
2018/12/28,"30,156,773",223.5,225.5,222.5,225.5
2019/01/03,"34,615,620",214.0,218.0,214.0,215.5
2019/01/04,"67,043,521",211.5,211.5,206.5,208.0
2019/01/07,"35,695,176",212.0,214.0,211.0,213.0
2019/01/08,"23,794,481",212.0,212.5,210.0,211.0
2019/01/09,"51,255,446",212.0,216.5,211.0,215.5
2019/01/10,"20,832,593",216.0,216.5,214.5,216.0
2019/01/11,"28,658,288",219.0,220.5,218.0,220.5
2019/01/14,"17,612,296",218.5,220.0,217.0,218.5
2019/01/15,"42,990,923",216.5,221.0,215.5,221.0
2019/01/16,"30,038,282",218.5,220.0,217.5,217.5
2019/01/17,"21,163,986",218.0,221.0,218.0,220.5
2019/01/18,"52,677,569",219.0,220.0,217.5,218.5
2019/01/21,"32,515,866",220.0,223.0,220.0,221.0
2019/01/22,"30,958,483",220.0,223.0,219.0,223.0
2019/01/23,"18,671,213",221.5,222.0,220.0,220.5
2019/01/24,"31,348,924",222.5,222.5,220.5,222.5
2019/01/25,"48,039,764",226.5,227.0,225.0,226.0
2019/01/28,"29,134,257",229.5,229.5,228.0,229.0
2019/01/29,"42,566,520",222.5,225.0,222.0,222.5
2019/01/30,"51,889,945",220.5,221.5,220.0,221.0
2019/02/12,"30,125,670",230.0,230.0,229.0,230.0
2019/02/13,"28,634,925",232.0,232.0,228.5,229.0
2019/02/14,"23,647,751",229.5,230.0,226.0,227.0
2019/02/15,"22,369,799",229.0,229.0,226.5,227.0
2019/02/18,"18,163,916",229.0,230.5,228.5,230.0
2019/02/19,"18,423,023",230.0,230.5,229.0,229.0
2019/02/20,"31,887,710",231.5,234.5,231.0,234.5
2019/02/21,"34,013,489",235.5,236.5,234.5,236.5
2019/02/22,"22,032,163",235.5,236.5,234.0,236.5
2019/02/25,"25,227,138",237.5,239.0,236.0,238.0
2019/02/26,"24,586,789",239.0,240.0,236.5,239.5
2019/02/27,"37,947,889",238.5,239.5,237.0,239.0
2019/03/05,"23,708,407",234.0,234.5,232.5,233.0
2019/03/06,"20,811,226",235.0,235.5,233.5,234.0
2019/03/07,"17,226,192",235.0,235.0,233.0,234.0
2019/03/08,"22,535,659",231.0,231.5,229.0,230.0
2019/03/11,"34,282,793",228.0,230.5,227.5,230.5
2019/03/12,"23,839,972",233.0,237.0,232.5,235.5
2019/03/13,"22,493,195",234.0,237.0,234.0,237.0
2019/03/14,"17,281,356",239.0,239.0,234.0,234.5
2019/03/15,"34,542,729",237.0,239.5,235.5,239.0
2019/03/18,"27,040,532",239.5,241.0,239.0,241.0
2019/03/19,"14,620,009",239.0,240.5,238.0,240.5
2019/03/20,"23,055,971",242.0,242.0,239.5,242.0
2019/03/21,"27,514,502",242.5,245.5,241.0,245.5
2019/03/22,"22,996,467",248.0,248.5,244.5,248.5
2019/03/25,"19,273,254",240.5,243.5,240.5,241.5
2019/03/26,"21,053,170",243.0,244.0,241.0,244.0
2019/03/27,"23,622,089",242.0,242.5,240.5,241.5
2019/03/28,"13,998,054",240.5,242.5,240.0,242.0
2019/03/29,"31,024,810",243.0,245.5,240.5,245.5
2019/04/02,"25,189,053",249.5,249.5,246.0,246.0
2019/04/03,"28,581,323",249.0,249.0,246.5,246.5
2019/04/08,"46,426,821",251.0,253.0,250.5,253.0
2019/04/09,"22,745,674",253.0,254.0,252.0,254.0
2019/04/10,"33,174,934",253.0,254.5,252.0,254.0
2019/04/11,"25,146,840",253.0,254.0,251.5,252.0
2019/04/12,"13,888,148",251.5,253.0,251.0,252.0
2019/04/15,"17,257,002",255.0,256.0,254.0,255.5
2019/04/16,"20,231,648",257.0,257.0,255.5,257.0
2019/04/17,"39,037,191",260.0,263.0,259.5,261.5
2019/04/18,"48,525,490",264.0,266.0,263.5,264.5
2019/04/19,"47,698,699",269.0,269.5,263.5,264.5
2019/04/22,"24,967,393",266.5,267.5,265.0,266.0
2019/04/23,"26,251,847",266.5,268.0,266.0,268.0
2019/04/24,"37,386,755",270.0,270.0,267.5,269.0
2019/04/25,"36,572,455",268.5,269.0,267.0,267.5
2019/04/26,"51,743,804",262.0,263.0,257.5,260.0
2019/04/29,"32,651,618",260.0,262.0,258.5,259.5
2019/04/30,"40,446,419",260.0,260.5,258.0,259.0
2019/05/03,"30,200,246",262.0,265.0,260.5,265.0
2019/05/06,"33,688,187",260.0,260.0,258.0,259.0
2019/05/07,"25,686,126",259.5,263.0,259.0,262.5
2019/05/08,"25,902,364",260.0,261.5,259.5,260.0
2019/05/09,"34,166,574",259.5,259.5,256.0,256.5
2019/05/10,"18,868,212",257.0,259.0,255.0,256.0
2019/05/13,"29,317,535",253.0,254.0,249.5,250.5
2019/05/14,"45,620,708",247.5,251.0,245.0,248.5
2019/05/15,"37,223,479",251.0,252.0,249.0,249.0
2019/05/16,"30,331,519",248.5,249.5,246.0,247.0
2019/05/17,"40,006,856",249.0,249.0,241.5,241.5
2019/05/20,"47,097,661",242.5,243.0,238.0,238.0
2019/05/21,"82,872,775",233.5,236.0,232.5,234.0
2019/05/22,"36,289,034",236.5,240.5,235.5,238.0
2019/05/23,"62,258,627",233.5,233.5,230.0,230.0
2019/05/24,"38,226,789",230.0,234.0,230.0,233.0
